Nominal pipe size mm	inch	 OD mm	20	30	STD	40	60	XS	80	100	120	140	160	XXS
3.175	0.125	10.287	-	-	1.7272	1.7272	-	2.413	2.413	-	-	-	-	-
6.35	0.25	13.716	-	-	2.2352	2.2352	-	3.0226	3.0226	-	-	-	-	-
9.525	0.375	17.145	-	-	2.3114	2.3114	-	3.2004	3.2004	-	-	-	-	-
15	0.5	21.3	-	-	2.77	2.77	-	3.73	3.73	-	-	-	4.78	7.47
20	0.75	26.7	-	-	2.87	2.87	-	3.91	3.91	-	-	-	5.56	7.82
25	1	33.4	-	-	3.38	3.38	-	4.55	4.55	-	-	-	6.35	9.09
32	1.25	42.2	-	-	3.56	3.56	-	4.85	4.85	-	-	-	6.35	9.7
40	1.5	48.3	-	-	3.68	3.68	-	5.08	5.08	-	-	-	7.14	10.15
50	2	60.3	-	-	3.91	3.91	-	5.54	5.54	-	-	-	8.74	11.07
65	2.5	73	-	-	5.16	5.16	-	7.01	7.01	-	-	-	9.53	14.02
80	3	88.9	-	-	5.49	5.49	-	7.62	7.62	-	-	-	11.13	15.24
90	3.5	101.6	-	-	5.74	5.74	-	8.08	8.08	-	-	-	-	-
100	4	114.3	-	-	6.02	6.02	-	8.56	8.56	-	11.13	-	13.49	17.12
125	5	141.3	-	-	6.55	6.55	-	9.53	9.53	-	12.7	-	15.88	19.05
150	6	168.3	-	-	7.11	7.11	-	10.97	10.97		14.27	-	18.26	21.95
200	8	219.1	6.35	7.04	8.18	8.18	10.31	12.7	12.7	15.09	18.26	20.62	23.01	22.23
250	10	273.1	6.35	7.8	9.27	9.27	12.7	12.7	15.09	18.26	21.44	25.4	28.58	25.4
300	12	323.9	6.35	8.38	9.53	10.31	14.27	12.7	17.48	21.44	25.4	28.58	33.32	25.4
350	14	355.6	7.92	9.53	9.53	11.13	15.09	12.7	19.05	23.83	27.79	31.75	35.71	-
400	16	406.4	7.92	9.53	9.53	12.7	16.66	12.7	21.44	26.19	30.96	36.53	40.49	-
450	18	457.2	7.92	11.13	9.53	14.27	19.05	12.7	23.88	29.36	34.93	39.67	45.24	-
500	20	508	9.53	12.7	9.53	15.09	20.62	12.7	26.19	32.54	38.1	44.45	50.01	-
550	22	558.8	9.53	12.7	9.53	-	22.23	12.7	28.58	34.93	41.28	47.63	53.98	-
600	24	609.6	9.53	14.27	9.53	17.48	24.61	12.7	30.96	38.89	46.02	52.37	59.54	-
650	26	660.4	12.7	-	9.53	-	-	12.7	-	-	-	-	-	-
700	28	711.2	12.7	15.88	9.53	-	-	12.7	-	-	-	-	-	-
750	30	762	12.7	15.88	9.53	-	-	12.7	-	-	-	-	-	-
800	32	812.8	12.7	15.88	9.53	17.48	-	12.7	-	-	-	-	-	-
850	34	863.6	12.7	15.88	9.53	17.48	-	12.7	-	-	-	-	-	-
900	36	914.4	12.7	15.88	9.53	19.05	-	12.7	-	-	-	-	-	-
950	38	965.2	-	-	9.53	-	-	12.7	-	-	-	-	-	-
1000	40	1016	-	-	9.53	-	-	12.7	-	-	-	-	-	-
1050	42	1066.8	-	-	9.53	-	-	12.7	-	-	-	-	-	-
1100	44	1117.8	-	-	9.53	-	-	12.7	-	-	-	-	-	-
1150	46	1168.4	-	-	9.53	-	-	12.7	-	-	-	-	-	-
1200	48	1219.2	-	-	9.53	-	-	12.7	-	-	-	-	-	-
